vds;ids;eon;eoff;vdsreal;idsreal;rdson;;
-331,131;158,489;0,0000674148;0,00193713;1,23319;157,899;0,00780999;;
-331,131;199,526;0,000106858;0,00265893;1,37608;198,697;0,00692552;;
-331,131;251,189;0,000172677;0,00381548;1,55193;250,011;0,00620743;;
-331,131;316,228;0,000263643;0,00548115;1,76918;314,538;0,00562469;;
-331,131;398,107;0,000403741;0,00762046;2,03841;395,656;0,00515198;;
-331,131;500;0,000588633;0,0110707;2,36905;496,423;0,00477224;;
-301,995;0,1;0,00000000458869;0,000000249992;0,249577;0,0999174;2,49783;;
-301,995;0,125893;6,97804E-10;0,000000324567;0,264742;0,125782;2,10476;;
-301,995;0,158489;0,00000000222829;0,000000430721;0,279996;0,158342;1,76829;;
-301,995;0,199526;0,0000000230506;0,000000579263;0,295283;0,199331;1,48137;;
-301,995;0,251189;0,00000000230525;0,000000775078;0,310721;0,25093;1,23828;;
-301,995;0,316228;0,00000000513576;0,00000102282;0,326151;0,315886;1,03249;;
-301,995;0,398107;0,00000000724564;0,00000135465;0,341703;0,397657;0,85929;;
-301,995;0,501187;0,00000000855408;0,00000178289;0,357351;0,500594;0,713853;;
-301,995;0,630957;0,00000000646394;0,00000234197;0,372957;0,630178;0,591829;;
-301,995;0,794328;0,000000010997;0,00000309531;0,38875;0,793306;0,490039;;
-301,995;1;0,00000000837643;0,00000401682;0,405402;0,998658;0,405947;;
-301,995;1,25893;0,00000000461616;0,00000525658;0,420869;1,25717;0,334774;;
-301,995;1,58489;0,00000000782841;0,00000687359;0,437431;1,5826;0,2764;;
-301,995;1,99526;0,0000000341219;0,00000898045;0,453329;1,99227;0,227544;;
-301,995;2,51189;0,0000000724608;0,0000120711;0,470941;2,50797;0,187778;;
-301,995;3,16228;0,000000108107;0,0000157512;0,489781;3,15715;0,155134;;
-301,995;3,98107;0,0000000850015;0,000020329;0,38523;3,97599;0,0968891;;
-301,995;5,01187;0,000000132078;0,0000260826;0,460234;5,00423;0,0919689;;
-301,995;6,30957;0,000000174953;0,0000342616;0,541296;6,29826;0,0859437;;
-301,995;7,94328;0,000000252979;0,0000443133;0,572014;7,92824;0,0721489;;
-301,995;10;0,00000046296;0,0000584585;0,590162;9,98046;0,0591317;;
-301,995;12,5893;0,000000649565;0,0000770309;0,605899;12,564;0,048225;;
-301,995;15,8489;0,000000819025;0,000101009;0,63277;15,8157;0,0400089;;
-301,995;19,9526;0,00000151497;0,000132802;0,663085;19,9088;0,0333061;;
-301,995;25,1189;0,00000190266;0,000174952;0,695815;25,061;0,0277648;;
-301,995;31,6228;0,00000291752;0,000229123;0,731558;31,5462;0,0231901;;
-301,995;39,8107;0,00000452291;0,000303309;0,772408;39,7089;0,0194518;;
-301,995;50,1187;0,0000069708;0,000409882;0,819798;49,9827;0,0164016;;
-301,995;63,0957;0,0000110285;0,000537303;0,875391;62,9128;0,0139144;;
-301,995;79,4328;0,00001668;0,000745193;0,941411;79,1852;0,0118887;;
-301,995;100;0,0000273742;0,00101198;1,02061;99,662;0,0102407;;
-301,995;125,893;0,0000431898;0,00139638;1,11637;125,427;0,00890058;;
-301,995;158,489;0,000067822;0,00193147;1,23299;157,842;0,00781152;;
-301,995;199,526;0,000106288;0,00261531;1,3758;198,617;0,00692691;;
-301,995;251,189;0,000173559;0,00381037;1,55154;249,898;0,00620871;;
